time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-19 00:00:00+00:00,7,2,8.0,4.0
2025-10-20 00:00:00+00:00,7,2,2.0,2.0
2025-10-21 00:00:00+00:00,19,4,27.0,8.0
2025-10-22 00:00:00+00:00,7,2,6.0,2.0
2025-10-23 00:00:00+00:00,1,1,1.0,1.0
2025-10-24 00:00:00+00:00,3,3,3.0,2.0
2025-10-25 00:00:00+00:00,1,1,,
2025-10-26 00:00:00+00:00,21,6,16.0,12.0
2025-10-27 00:00:00+00:00,2,2,27.0,3.0
2025-10-28 00:00:00+00:00,3,3,1.0,1.0
2025-10-29 00:00:00+00:00,21,16,28.0,28.0
2025-10-30 00:00:00+00:00,1,1,6.0,1.0
2025-10-31 00:00:00+00:00,15,5,,
2025-11-01 00:00:00+00:00,12,2,1.0,1.0
