time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-23 00:00:00+00:00,7,6,42,3
2025-01-24 00:00:00+00:00,3,2,4,1
2025-01-25 00:00:00+00:00,3,1,1,1
2025-01-26 00:00:00+00:00,1,1,30,2
2025-01-27 00:00:00+00:00,1,1,12,3
2025-01-28 00:00:00+00:00,1,1,0,0
2025-01-29 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,3,2,43,1
2025-01-31 00:00:00+00:00,9,4,0,0
2025-02-01 00:00:00+00:00,5,2,0,0
2025-02-02 00:00:00+00:00,4,2,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,5,2,12,2
2025-02-05 00:00:00+00:00,0,0,33,3
