crop_no,m,Dependent,Fixed,RMSE,Model ID,MAE
1,1,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.04576521769409,1,10.89005101667766
1,1,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.125207373056142,3,10.88338994857841
1,1,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.536114004372553,2,11.355472028242042
1,1,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.717800457050487,4,11.387839506118546
1,1,Yield.Change,0+Temp.Change+I(Temp.Change)^2+Temp.Change:Baseline_tmp+Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy,21.24321372248541,5,15.380502281682096
1,2,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.159377774491624,1,10.858733785595337
1,2,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.267536794385173,3,10.859283996403029
1,2,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.792052454868966,2,11.33451627704145
1,2,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.919532239319512,4,11.353774364303302
1,2,Yield.Change,0+Temp.Change+I(Temp.Change)^2+Temp.Change:Baseline_tmp+Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy,21.316964054600707,5,15.505102264461621
1,3,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",16.02928858340855,1,10.863233734085249
